"SPID","SpeciesID","ScientificName","Taxon","Family","Genus","Species","Infraspecific","BOLDID","CommonName","MicroLep","Specialist","wtMPD","Records","Hosts","Notes"
53,"PICGL","Picea glauca","Plantae","Pinaceae","Picea","glauca","",NA,"White Spruce",NA,NA,NA,NA,NA,""
54,"PINRE","Pinus resinosa","Plantae","Pinaceae","Pinus","resinosa","",NA,"Red Pine",NA,NA,NA,NA,NA,""
55,"PINRI","Pinus rigida","Plantae","Pinaceae","Pinus","rigida","",NA,"Pitch Pine",NA,NA,NA,NA,NA,""
56,"PINST","Pinus strobus","Plantae","Pinaceae","Pinus","strobus","",NA,"White Pine",NA,NA,NA,NA,NA,""
57,"PINXX","Pinus","Plantae","Pinaceae","Pinus","","",NA,"Pine",NA,NA,NA,NA,NA,""
58,"POPDE","Populus deltoides","Plantae","Salicaceae","Populus","deltoides","",NA,"Cottonwood",NA,NA,NA,NA,NA,""
59,"POPTR","Populus tremuloides","Plantae","Salicaceae","Populus","tremuloides","",NA,"Quaking Aspen",NA,NA,NA,NA,NA,""
60,"PRUSE","Prunus serotina","Plantae","Rosaceae","Prunus","serotina","",NA,"Black Cherry",NA,NA,NA,NA,NA,""
61,"PRUVI","Prunus virginiana","Plantae","Rosaceae","Prunus","virginiana","",NA,"Choke Cherry",NA,NA,NA,NA,NA,""
62,"QUEAL","Quercus alba","Plantae","Fagaceae","Quercus","alba","",NA,"White Oak",NA,NA,NA,NA,NA,""
63,"QUEBI","Quercus bicolor","Plantae","Fagaceae","Quercus","bicolor","",NA,"Swamp White Oak",NA,NA,NA,NA,NA,""
64,"QUECO","Quercus coccinea","Plantae","Fagaceae","Quercus","coccinea","",NA,"Scarlet Oak",NA,NA,NA,NA,NA,""
65,"QUEMO","Quercus montana","Plantae","Fagaceae","Quercus","montana","",NA,"Chestnut Oak",NA,NA,NA,NA,NA,""
66,"QUEPA","Quercus palustris","Plantae","Fagaceae","Quercus","palustris","",NA,"Pin Oak",NA,NA,NA,NA,NA,""
67,"QUERU","Quercus rubra","Plantae","Fagaceae","Quercus","rubra","",NA,"Red Oak",NA,NA,NA,NA,NA,""
68,"QUEVE","Quercus velutina","Plantae","Fagaceae","Quercus","velutina","",NA,"Black Oak",NA,NA,NA,NA,NA,""
69,"QUEXX","Quercus","Plantae","Fagaceae","Quercus","","",NA,"Oak",NA,NA,NA,NA,NA,""
70,"RHOPE","Rhododendron periclymenoides","Plantae","Ericaceae","Rhododendron","periclymenoides","",NA,"Pink Azalea",NA,NA,NA,NA,NA,""
71,"RHOPR","Rhododendron prinophyllum","Plantae","Ericaceae","Rhododendron","prinophyllum","",NA,"Early Azalea",NA,NA,NA,NA,NA,""
72,"RHOXX","Rhododendron","Plantae","Ericaceae","Rhododendron","","",NA,"Rhododendron",NA,NA,NA,NA,NA,""
73,"RHOSC","Rhodotypos scandens","Plantae","Rosaceae","Rhodotypos","scandens","",NA,"Jetbead",NA,NA,NA,NA,NA,""
74,"ROSMU","Rosa multiflora","Plantae","Rosaceae","Rosa","multiflora","",NA,"Multiflora Rose",NA,NA,NA,NA,NA,""
75,"RUBAL","Rubus allegheniensis","Plantae","Rosaceae","Rubus","allegheniensis","",NA,"Common Blackberry",NA,NA,NA,NA,NA,""
76,"RUBID","Rubus idaeus","Plantae","Rosaceae","Rubus","idaeus","",NA,"Red Raspberry",NA,NA,NA,NA,NA,""
77,"RUBOC","Rubus occidentalis","Plantae","Rosaceae","Rubus","occidentalis","",NA,"Black Raspberry",NA,NA,NA,NA,NA,""
78,"RUBPH","Rubus phoenicolasius","Plantae","Rosaceae","Rubus","phoenicolasius","",NA,"Wineberry",NA,NA,NA,NA,NA,""
79,"RUBXX","Rubus","Plantae","Rosaceae","Rubus","","",NA,"Blackberry",NA,NA,NA,NA,NA,""
80,"SASAL","Sassafras albidum","Plantae","Lauraceae","Sassafras","albidum","",NA,"Sassafras",NA,NA,NA,NA,NA,""
81,"SMIRO","Smilax rotundifolia","Plantae","Smilacaceae","Smilax","rotundifolia","",NA,"Greenbriar",NA,NA,NA,NA,NA,""
82,"TILAM","Tilia americana","Plantae","Tiliaceae","Tilia","americana","",NA,"Basswood",NA,NA,NA,NA,NA,""
83,"TOXRA","Toxicodendron radicans","Plantae","Anacardiaceae","Toxicodendron","radicans","",NA,"Poison Ivy",NA,NA,NA,NA,NA,""
84,"TSUCA","Tsuga canadensis","Plantae","Pinaceae","Tsuga","canadensis","",NA,"Eastern Hemlock",NA,NA,NA,NA,NA,""
85,"ULMAM","Ulmus americana","Plantae","Ulmaceae","Ulmus","americana","",NA,"American Elm",NA,NA,NA,NA,NA,""
